date,import_mcm,notes,source,confidence
2024-01-01,60,low imports pre-attacks,estimated
2024-02-01,55,low imports,estimated
2024-03-01,65,low imports,estimated
2024-04-01,50,low imports,estimated
2024-05-01,60,low imports,estimated
2024-06-01,65,low imports,estimated
2024-07-01,55,low imports,estimated
2024-08-01,65,low imports,estimated
2024-09-01,70,low imports,estimated
2024-10-01,70,low imports,estimated
2024-11-01,65,low imports,estimated
2024-12-01,60,low imports; 2024 total 724 mcm,EXPRO Consulting
2025-01-01,400,~20 mcm/day active imports after RU transit ended,estimated
2025-02-01,512,highest in 18 months after RU attacks on production,EXPRO Consulting confirmed
2025-03-01,280,220-280 mcm/month post-attack,EXPRO Consulting confirmed
2025-04-01,240,220-280 mcm/month,EXPRO Consulting confirmed
2025-05-01,300,active injection season,estimated
2025-06-01,480,pre-winter preparation,estimated
2025-07-01,833,highest in 2 years (+54% vs June); HU 36% SK 32% PL 31%,EXPRO Consulting confirmed
2025-08-01,700,continued active injection,estimated
2025-09-01,650,~53.9 mcm/day injection pace,EXPRO Consulting confirmed
2025-10-01,450,transition to withdrawal,estimated
2025-11-01,350,withdrawal season,estimated
2025-12-01,250,withdrawal; 2025 total 6470 mcm (9x vs 2024),EXPRO Consulting confirmed
2026-01-01,600,high demand + attacks; ~20 mcm/day,estimated
2026-02-01,550,continued high imports,estimated
2026-03-01,500,current month estimate,estimated
